This file contains robot (x, y, z) position data for key intermediate robot positions.

Format: position name | x | y | z

Created by: David Milsted
Last updated: 2025-05-12
---
ZHOME,None,None,15
HOME,15,15,15
PRE_EXTEND_POS,15,15,None
BED_EXTENDED,None,220,None
BED_RETRACTED,None,5,None
